Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Namibia,Beverages,Online,C,4/19/2017,319248378,5/1/2017,1544,47.45,31.79,73262.80,49083.76,24179.04
Europe,Hungary,Household,Online,H,7/31/2014,931757199,9/14/2014,6516,668.27,502.54,4354447.32,3274550.64,1079896.68
Asia,Malaysia,Snacks,Offline,C,11/18/2013,163463103,12/5/2013,1220,152.58,97.44,186147.60,118876.80,67270.80
Sub-Saharan Africa,Burundi,Cosmetics,Offline,L,5/30/2012,359727418,6/13/2012,192,437.20,263.33,83942.40,50559.36,33383.04
Europe,Estonia,Clothes,Offline,C,3/24/2012,336223971,4/1/2012,5000,109.28,35.84,546400.00,179200.00,367200.00
Asia,Malaysia,Beverages,Offline,L,6/15/2016,328939092,7/19/2016,9242,47.45,31.79,438532.90,293803.18,144729.72
Europe,Bosnia and Herzegovina,Household,Offline,L,5/8/2010,644171607,5/25/2010,3548,668.27,502.54,2371021.96,1783011.92,588010.04
Europe,Finland,Fruits,Online,L,7/12/2010,308532845,8/24/2010,580,9.33,6.92,5411.40,4013.60,1397.80
Sub-Saharan Africa,Tanzania,Office Supplies,Offline,H,9/26/2015,218946635,11/4/2015,30,651.21,524.96,19536.30,15748.80,3787.50
North America,United States of America,Vegetables,Offline,C,8/21/2010,892649304,10/2/2010,3621,154.06,90.93,557851.26,329257.53,228593.73
Europe,Austria,Meat,Offline,C,1/16/2015,217189681,2/15/2015,108,421.89,364.69,45564.12,39386.52,6177.60
Australia and Oceania,Tonga,Cereal,Online,L,12/17/2011,200429093,1/30/2012,278,205.70,117.11,57184.60,32556.58,24628.02
Sub-Saharan Africa,Zambia,Fruits,Offline,C,12/21/2011,220541369,1/2/2012,1947,9.33,6.92,18165.51,13473.24,4692.27
Middle East and North Africa,Morocco,Baby Food,Online,C,7/27/2011,176012837,8/22/2011,4965,255.28,159.42,1267465.20,791520.30,475944.90
Europe,Monaco,Personal Care,Online,M,2/9/2012,935642325,2/24/2012,6211,81.73,56.67,507625.03,351977.37,155647.66
Asia,Cambodia,Clothes,Online,H,12/31/2015,288541162,1/25/2016,4597,109.28,35.84,502360.16,164756.48,337603.68
Sub-Saharan Africa,Lesotho,Office Supplies,Offline,H,5/13/2015,594133174,6/18/2015,6064,651.21,524.96,3948937.44,3183357.44,765580.00
Europe,Portugal,Fruits,Online,L,12/18/2010,232154691,1/30/2011,8587,9.33,6.92,80116.71,59422.04,20694.67
Middle East and North Africa,Afghanistan,Cosmetics,Offline,M,12/23/2015,352654540,1/22/2016,7170,437.20,263.33,3134724.00,1888076.10,1246647.90
Sub-Saharan Africa,Nigeria,Meat,Online,C,5/11/2014,825994050,6/23/2014,8850,421.89,364.69,3733726.50,3227506.50,506220.00
Australia and Oceania,Kiribati,Cereal,Offline,C,1/23/2010,692847049,2/10/2010,7693,205.70,117.11,1582450.10,900927.23,681522.87
Sub-Saharan Africa,Comoros,Cosmetics,Offline,M,9/7/2015,414199864,9/8/2015,9799,437.20,263.33,4284122.80,2580370.67,1703752.13
Sub-Saharan Africa,Namibia,Vegetables,Offline,C,10/17/2010,521351325,11/18/2010,8298,154.06,90.93,1278389.88,754537.14,523852.74
Sub-Saharan Africa,Sierra Leone,Household,Online,C,11/25/2013,265912759,12/1/2013,8349,668.27,502.54,5579386.23,4195706.46,1383679.77
Sub-Saharan Africa,The Gambia,Personal Care,Online,C,7/3/2010,769807994,7/19/2010,2147,81.73,56.67,175474.31,121670.49,53803.82
Europe,Germany,Cereal,Online,C,6/12/2017,975273358,6/21/2017,3914,205.70,117.11,805109.80,458368.54,346741.26
Sub-Saharan Africa,Tanzania,Office Supplies,Offline,H,12/31/2010,794857680,1/28/2011,4906,651.21,524.96,3194836.26,2575453.76,619382.50
Europe,Slovenia,Office Supplies,Offline,M,12/3/2013,661422288,12/27/2013,8408,651.21,524.96,5475373.68,4413863.68,1061510.00
Sub-Saharan Africa,Benin,Cereal,Offline,L,12/22/2015,178141009,1/29/2016,4738,205.70,117.11,974606.60,554867.18,419739.42
Sub-Saharan Africa,Mauritius ,Cosmetics,Offline,M,7/18/2015,368500173,8/12/2015,6245,437.20,263.33,2730314.00,1644495.85,1085818.15
Sub-Saharan Africa,Ethiopia,Personal Care,Online,L,11/17/2015,526298606,12/15/2015,2308,81.73,56.67,188632.84,130794.36,57838.48
Asia,Turkmenistan,Beverages,Online,M,9/15/2013,465647637,9/16/2013,4338,47.45,31.79,205838.10,137905.02,67933.08
